stationReference,month,avg_daily_pet
5480TH,1,0.2552372695892348
0701TH,1,0.41997469539327775
E24815,1,0.320638063603991
2625,1,0.36010594229231513
024003,1,0.3966276850513247
710301,1,0.34909021153353137
47123,1,0.5520266966755615
3085TH,1,0.30976249487350344
0913TH,1,0.38769983842701805
E1742,1,0.37951897716865646
E23956,1,0.39790664912976004
F1003,1,0.4192730200194041
3207TH,1,0.29666791326756287
692726,1,0.23924000234913687
E71939,1,0.5117579952694045
E71924,1,0.5117579952694045
4172,1,0.33765934892228505
F2470,1,0.32289482181647117
1486TH,1,0.392097019996999
52158,1,0.48287324577278545
3350TH,1,0.27289471041889024
055031_TG 329,1,0.2510340563240414
2936TH,1,0.23435408432441135
E1594,1,0.45408769041311736
L2208,1,0.4062965441959565
2966TH,1,0.3162435869409285
F3501,1,0.3777428166443236
2204TH,1,0.3868941799897969
L1386,1,0.3826593015390677
48145,1,0.7004839539393164
4045TH,1,0.27169791705335744
2264TH,1,0.4058600735739674
4890TH,1,0.36531238470034866
48108,1,0.6310427277411274
E670,1,0.3217231734429807
E21226,1,0.25503472731718185
52111,1,0.4532366630940079
45233,1,0.4708701773222979
L3503,1,0.3540348130490315
2893TH,1,0.35844905518416526
PCHURCH_TG 342,1,0.3383863122120659
L1808,1,0.4114895901396072
4310TH,1,0.2811540119368343
L17012,1,0.35392022212226976
F3316,1,0.4091454508324528
3012TH,1,0.3989808108846619
2653,1,0.36205210658003445
L2519,1,0.3553983174636101
E21449,1,0.3829371558470126
4370TH,1,0.2679247353589394
E24806,1,0.3763136887058118
E1608,1,0.42195309153488497
1800TH,1,0.41473282577182374
2616,1,0.3512107684965369
E5852,1,0.275840973284507
713056,1,0.35522650042968845
5369TH,1,0.27282262354720627
690205,1,0.22411355124764817
E2815,1,0.487781157644524
L2013,1,0.40758201332443644
E8221,1,0.30433444398033743
713019,1,0.32989704716603235
2859TH,1,0.3562375406403658
724735,1,0.43249999963747926
E24064,1,0.2690600351844734
2889TH,1,0.31962154579319324
50133,1,0.5493680347934667
3823TH,1,0.31210564464418183
4163,1,0.26838156667589486
53133,1,0.3031225757536056
E22744,1,0.32228831410586334
44202,1,0.5166459371502973
694041,1,0.29059939313438404
4126,1,0.28947872375016503
2097,1,0.37179857900544894
43120,1,0.42359717278255915
48173,1,0.6765848158100141
022016,1,0.27606218950474576
46120,1,0.5801893267045599
E2296,1,0.38990235084891883
L2361,1,0.36872011781893704
45136,1,0.4853227920836279
49120,1,0.5109468681213263
L0902,1,0.4016771449044065
0007,1,0.26457427386998156
E14993,1,0.606779290638683
4710,1,0.3482956969097411
2604TH,1,0.3148107431129465
E4413,1,0.393477502959573
45224,1,0.526639520185598
L1205,1,0.3407485530131488
E21713,1,0.3186543818130954
2050,1,0.3699411084948861
712113,1,0.30591146532892743
685505,1,0.5343129195873402
710320,1,0.34660539031995347
2694TH,1,0.32730846205666325
755790,1,0.4212211007459216
